Timestamp(s),trunk_Accel_X,trunk_Accel_Y,trunk_Accel_Z,trunk_Gyro_X,trunk_Gyro_Y,trunk_Gyro_Z,trunk_MAG_X,trunk_MAG_Y,trunk_MAG_Z,foot_Accel_X,foot_Accel_Y,foot_Accel_Z,foot_Gyro_X,foot_Gyro_Y,foot_Gyro_Z,foot_MAG_X,foot_MAG_Y,foot_MAG_Z,shank_Accel_X,shank_Accel_Y,shank_Accel_Z,shank_Gyro_X,shank_Gyro_Y,shank_Gyro_Z,shank_MAG_X,shank_MAG_Y,shank_MAG_Z,thigh_Accel_X,thigh_Accel_Y,thigh_Accel_Z,thigh_Gyro_X,thigh_Gyro_Y,thigh_Gyro_Z,thigh_MAG_X,thigh_MAG_Y,thigh_MAG_Z,
172.78,-9.76,-0.74,-0.37,-4.62,-4.25,-2.31,32.69,16.06,17.25,-5.41,0.35,8.12,3.75,4.75,0.19,9.50,93.56,-53.69,-9.92,-0.81,-0.46,-3.81,-5.25,-2.00,32.69,16.06,17.25,-9.74,0.14,0.34,-2.44,2.56,0.00,35.00,35.25,14.75,
172.81,-9.81,-0.82,-0.41,-5.00,-7.12,-2.00,32.69,16.06,17.25,-5.42,0.34,8.20,2.69,2.44,-0.06,8.06,94.25,-53.00,-9.74,-0.82,-0.41,-6.19,-8.00,-2.06,33.06,15.38,16.56,-9.79,0.07,0.42,-0.94,3.81,0.25,35.69,34.88,13.56,
172.84,-9.57,-0.97,-0.34,-9.50,-7.19,-3.87,33.06,15.38,16.56,-5.42,0.31,8.16,2.50,2.69,-0.06,8.06,94.25,-53.00,-9.62,-1.00,-0.34,-10.31,-6.25,-4.06,33.06,15.38,16.56,-9.84,-0.02,0.27,-1.25,1.81,0.31,35.69,34.88,13.56,
172.87,-9.84,-0.96,-0.45,-10.38,-5.31,-4.37,32.69,16.50,17.00,-5.46,0.36,8.10,3.06,3.69,-0.31,7.69,93.87,-53.38,-9.83,-0.95,-0.54,-10.50,-5.94,-4.19,32.69,16.50,17.00,-9.72,0.11,0.18,0.06,2.75,0.25,35.25,34.50,14.75,
172.90,-9.77,-0.95,-0.47,-9.63,-9.00,-4.44,32.69,16.50,17.00,-5.47,0.26,8.12,1.94,2.62,-0.31,9.56,93.87,-54.19,-9.74,-0.95,-0.36,-8.25,-11.19,-4.56,33.06,16.06,17.37,-9.77,0.13,0.20,-0.94,2.19,0.31,34.69,33.75,13.56,
172.93,-9.71,-0.92,-0.30,-9.69,-12.69,-4.69,33.06,16.06,17.37,-5.48,0.33,8.13,1.94,2.06,-0.31,9.56,93.87,-54.19,-9.60,-0.86,-0.37,-10.06,-12.88,-5.12,33.06,16.06,17.37,-9.81,0.19,0.09,-3.81,3.06,-0.19,34.69,33.75,13.56,
172.96,-9.62,-0.90,-0.35,-10.06,-12.38,-5.56,33.38,15.00,17.75,-5.51,0.32,8.11,1.94,2.37,-0.19,9.19,93.87,-53.88,-9.65,-0.83,-0.44,-9.88,-11.00,-5.25,33.38,15.00,17.75,-9.66,0.04,-0.10,-2.75,0.06,0.31,35.25,34.88,15.06,
172.99,-9.66,-0.81,-0.41,-13.69,-10.75,-5.00,33.38,15.00,17.75,-5.54,0.39,8.06,1.69,1.75,-0.06,9.19,93.87,-53.88,-9.66,-0.80,-0.38,-15.00,-11.19,-5.19,33.38,15.00,17.75,-9.75,0.15,-0.12,-2.62,1.75,-0.19,35.25,34.88,15.06,
173.02,-9.59,-0.76,-0.26,-15.25,-11.19,-5.62,33.69,16.50,17.00,-5.51,0.36,8.10,1.06,0.94,0.13,9.56,93.56,-53.38,-9.59,-0.80,-0.25,-14.44,-10.63,-6.25,33.69,16.50,17.00,-9.78,0.42,-0.17,-4.19,0.69,0.13,35.25,33.50,15.56,
173.06,-9.64,-0.87,-0.34,-14.69,-9.25,-6.19,33.69,16.50,17.00,-5.56,0.32,8.08,1.31,-0.13,0.50,8.75,93.56,-53.69,-9.67,-0.87,-0.36,-15.38,-9.38,-6.06,33.25,16.50,17.00,-9.65,0.20,-0.23,-9.88,1.37,0.56,34.25,34.19,16.25,
173.09,-9.48,-0.86,-0.25,-16.94,-11.19,-6.25,33.25,16.50,17.00,-5.55,0.35,8.08,1.25,-1.50,1.06,8.75,93.56,-53.69,-9.44,-0.91,-0.17,-17.00,-10.56,-6.37,33.25,16.50,17.00,-9.73,0.32,-0.28,-11.13,1.81,0.50,34.25,34.19,16.25,
173.12,-9.38,-1.05,0.00,-17.25,-8.69,-6.00,32.19,15.75,16.56,-5.43,0.44,8.15,0.56,-1.62,0.62,8.75,93.56,-54.56,-9.48,-1.16,0.06,-16.00,-5.19,-5.37,32.19,15.75,16.56,-9.96,0.31,-0.11,-12.00,0.50,0.19,34.25,34.50,15.88,
173.15,-9.74,-1.20,-0.16,-15.13,-2.94,-5.37,32.19,15.75,16.56,-5.53,0.35,8.09,0.56,-0.37,0.50,8.75,92.87,-55.00,-9.71,-1.14,-0.21,-15.25,-3.00,-5.37,33.25,15.75,17.37,-9.68,0.02,-0.61,-10.13,0.50,0.37,34.25,33.88,16.75,
173.18,-9.53,-1.10,-0.21,-14.25,-4.56,-5.25,33.25,15.75,17.37,-5.53,0.31,8.13,0.50,-1.12,1.00,8.75,92.87,-55.00,-9.44,-1.12,-0.11,-12.94,-4.87,-5.31,33.25,15.75,17.37,-9.83,0.12,-0.13,-7.81,1.94,-1.00,34.25,33.88,16.75,
173.22,-9.34,-1.31,0.05,-11.94,-3.44,-4.00,33.00,15.75,15.75,-5.40,0.55,8.08,1.12,0.00,0.44,9.56,92.75,-54.06,-9.35,-1.36,0.13,-9.81,0.62,-2.25,33.00,15.75,15.75,-9.94,0.32,-0.05,-3.75,0.75,-0.56,34.25,33.88,16.75,
173.25,-9.54,-1.34,0.18,-7.44,4.69,-0.50,33.00,15.75,15.75,-5.50,0.37,8.12,0.31,0.75,-0.37,8.75,92.75,-53.50,-9.78,-1.21,-0.01,-6.56,5.19,-0.19,33.00,15.00,17.00,-9.73,0.16,-0.20,-1.31,0.44,-1.25,35.75,33.88,16.75,
173.28,-9.81,-0.95,-0.09,-8.00,2.44,-0.81,33.00,15.00,17.00,-5.54,0.37,8.07,0.62,1.37,-0.25,8.75,92.75,-53.50,-9.83,-0.94,-0.02,-9.00,2.25,-1.19,33.00,15.00,17.00,-9.99,0.19,-0.15,1.81,1.44,-2.06,35.75,33.88,16.75,
173.32,-9.64,-1.11,0.20,-8.81,2.50,-1.12,33.69,15.00,18.19,-5.50,0.40,8.11,-1.56,-0.13,0.06,8.75,93.56,-54.38,-9.57,-1.23,0.21,-8.44,3.81,-0.75,33.69,15.00,18.19,-9.77,0.30,-0.04,-1.19,2.81,-2.62,36.06,34.19,16.75,
173.35,-9.58,-1.33,0.29,-11.56,5.62,-0.06,33.69,15.00,18.19,-5.52,0.44,8.09,-0.25,-0.50,-0.25,9.56,93.25,-54.19,-9.57,-1.36,0.04,-11.44,5.19,-0.31,33.00,15.75,17.75,-9.81,0.26,0.11,-4.00,4.25,-2.69,34.25,33.88,17.56,
173.38,-9.74,-1.27,-0.21,-8.56,5.87,-0.62,33.00,15.75,17.75,-5.52,0.38,8.07,0.06,-0.81,-0.25,9.56,93.25,-54.19,-9.81,-1.24,-0.28,-6.25,5.87,-0.81,33.00,15.75,17.75,-9.76,-0.05,0.02,-6.31,4.31,-2.12,34.25,33.88,17.56,
173.42,-9.74,-1.18,-0.19,-5.00,2.69,-0.75,31.75,15.00,17.25,-5.48,0.40,8.10,0.81,-0.62,-0.13,7.69,93.19,-53.19,-9.77,-1.19,-0.08,-5.12,1.75,-0.94,31.75,15.00,17.25,-9.81,-0.02,0.03,-3.69,2.87,-2.75,35.25,34.19,17.06,
173.45,-9.82,-1.32,-0.04,-2.19,0.13,-2.12,31.75,15.00,17.25,-5.49,0.45,8.12,0.13,-0.44,0.06,7.69,93.19,-54.50,-9.77,-1.34,-0.21,-0.37,-0.37,-2.31,33.69,14.56,18.19,-9.79,0.07,0.21,0.00,2.25,-1.94,33.56,34.88,16.75,
173.48,-9.68,-1.33,-0.42,2.44,-2.75,-2.37,33.69,14.56,18.19,-5.50,0.41,8.10,-0.44,-0.94,-0.13,7.69,93.19,-54.50,-9.80,-1.26,-0.38,3.06,-3.75,-2.00,33.69,14.56,18.19,-9.84,0.04,0.10,-1.87,-0.19,-2.25,33.56,34.88,16.75,
173.51,-9.88,-1.20,-0.15,3.37,-5.06,-2.56,33.25,15.00,17.75,-5.46,0.45,8.10,-0.75,-0.19,-0.37,9.06,94.25,-54.00,-9.85,-1.26,-0.03,3.62,-5.81,-3.06,33.25,15.00,17.75,-9.85,0.03,-0.04,0.31,-0.69,-2.25,34.69,35.25,17.50,
173.54,-9.79,-1.26,-0.04,5.00,-7.56,-3.50,33.25,15.00,17.75,-5.52,0.44,8.11,-1.12,0.13,-0.50,9.06,94.25,-54.00,-9.70,-1.29,-0.04,6.44,-8.50,-3.69,33.25,15.00,17.75,-9.75,-0.02,-0.09,2.81,-1.00,-2.06,34.69,35.25,17.50,
173.57,-9.57,-1.31,-0.19,8.13,-8.69,-2.69,33.25,13.88,18.19,-5.51,0.44,8.06,-1.00,-0.25,-0.50,7.69,93.56,-54.50,-9.57,-1.31,-0.26,7.75,-8.44,-1.94,33.25,13.88,18.19,-9.77,0.18,-0.20,2.25,-1.25,-1.87,35.00,33.88,18.25,
173.61,-9.59,-1.29,-0.13,6.31,-8.56,-1.50,33.25,13.88,18.19,-5.51,0.39,8.11,-1.06,-0.69,-0.31,8.75,92.87,-54.19,-9.58,-1.31,-0.09,6.44,-8.69,-1.25,34.06,14.56,17.37,-9.78,-0.01,-0.17,-1.87,-1.50,-2.19,35.69,33.75,17.50,
173.63,-9.62,-1.35,0.02,6.06,-8.94,-1.75,34.06,14.56,17.37,-5.49,0.40,8.07,-1.00,-0.31,-0.25,8.75,92.87,-54.19,-9.62,-1.37,0.09,5.19,-9.06,-1.87,34.06,14.56,17.37,-9.87,0.05,-0.28,0.37,-1.44,-2.56,35.69,33.75,17.50,
173.67,-9.53,-1.40,0.00,4.44,-8.13,-1.44,34.06,15.75,17.00,-5.49,0.35,8.10,-1.25,-0.25,-0.44,7.25,93.87,-53.75,-9.54,-1.41,-0.07,4.56,-6.87,-1.06,34.06,15.75,17.00,-9.76,-0.10,-0.34,1.31,-2.37,-3.06,35.69,34.50,17.87,
173.70,-9.60,-1.44,-0.07,4.75,-5.94,-0.25,34.06,15.75,17.00,-5.50,0.33,8.11,-0.50,-0.81,0.13,7.25,92.75,-54.00,-9.56,-1.43,0.01,5.00,-6.12,0.06,34.06,15.38,17.25,-9.78,-0.19,-0.27,0.75,-2.62,-3.12,35.69,33.88,16.25,
173.74,-9.56,-1.44,-0.02,6.44,-5.62,0.56,34.06,15.38,17.25,-5.49,0.32,8.10,-0.50,0.06,0.13,7.25,92.75,-54.00,-9.58,-1.46,-0.09,7.12,-5.44,0.81,34.06,15.38,17.25,-9.82,-0.06,-0.33,3.94,-3.81,-3.06,35.69,33.88,16.25,
173.77,-9.63,-1.47,-0.03,6.62,-4.94,1.06,34.75,15.00,16.56,-5.42,0.38,8.10,-1.31,-0.88,0.06,7.25,93.56,-54.06,-9.60,-1.41,0.01,5.44,-5.19,1.19,34.75,15.00,16.56,-9.80,-0.04,-0.30,5.50,-3.37,-3.69,35.00,34.50,16.25,
173.80,-9.56,-1.33,0.12,6.00,-5.19,1.75,34.75,15.00,16.56,-5.53,0.33,8.09,0.00,0.88,0.00,7.69,93.56,-53.69,-9.72,-1.35,0.15,7.12,-4.19,2.62,33.69,15.38,17.25,-9.81,-0.02,-0.28,2.37,-3.37,-2.62,35.00,34.50,17.06,
173.83,-9.73,-1.23,0.20,5.19,-3.50,3.37,33.69,15.38,17.25,-5.53,0.34,8.08,0.25,-1.31,0.13,7.69,93.56,-53.69,-9.63,-1.19,0.24,3.94,-3.56,3.25,33.69,15.38,17.25,-9.76,-0.12,-0.19,1.50,-0.56,-2.50,35.00,34.50,17.06,
173.87,-9.70,-1.16,0.32,4.62,-4.19,2.50,34.75,15.00,15.75,-5.50,0.33,8.12,-1.31,-2.44,0.62,9.50,93.87,-54.00,-9.68,-1.22,0.22,5.75,-4.44,2.25,34.75,15.00,15.75,-9.77,-0.11,0.01,-2.75,-1.31,-2.19,35.69,35.25,15.88,
173.90,-9.56,-1.26,0.14,4.75,-4.19,2.44,34.75,15.00,15.75,-5.38,0.42,8.16,-3.69,-0.13,0.19,8.75,93.87,-53.88,-9.56,-1.29,0.16,3.25,-3.56,2.62,34.75,15.00,15.75,-9.93,-0.15,0.00,-0.69,-0.75,-2.75,35.69,35.25,15.88,
173.93,-9.69,-1.26,0.18,-0.37,-2.69,2.44,34.75,15.75,16.56,-5.51,0.32,8.08,-1.44,1.87,-0.31,8.75,93.87,-53.88,-9.72,-1.23,0.15,-1.44,-3.06,2.00,34.75,15.75,16.56,-9.77,-0.21,-0.24,-3.00,-1.25,-2.50,35.25,34.50,17.50,
173.96,-9.70,-1.11,0.27,-2.25,-3.87,1.19,34.75,15.75,16.56,-5.49,0.30,8.15,-1.75,1.19,0.13,7.00,94.25,-54.19,-9.70,-1.10,0.23,-2.50,-4.00,0.94,35.06,15.00,16.19,-9.81,-0.25,-0.04,-1.31,0.62,-3.06,36.06,34.50,16.69,
173.99,-9.66,-1.18,0.23,-2.69,-4.19,0.75,35.06,15.00,16.19,-5.50,0.33,8.12,-1.06,-0.50,-0.25,7.00,94.25,-54.19,-9.62,-1.19,0.23,-2.44,-4.25,0.62,35.06,15.00,16.19,-9.83,-0.15,-0.06,1.06,0.56,-2.56,36.06,34.50,16.69,
174.02,-9.59,-1.30,0.26,-1.87,-4.06,0.56,34.38,15.00,15.75,-5.46,0.30,8.13,0.25,-0.50,-0.25,7.69,94.00,-54.38,-9.57,-1.32,0.31,-1.56,-4.12,0.81,34.38,15.00,15.75,-9.72,-0.18,-0.13,-1.12,-1.12,-2.56,35.69,35.69,16.25,
174.05,-9.54,-1.34,0.35,-2.56,-3.37,0.81,34.38,15.00,15.75,-5.47,0.25,8.10,-0.31,-0.88,-0.13,7.25,93.87,-54.00,-9.51,-1.34,0.48,-2.75,-2.62,0.88,34.75,15.00,16.56,-9.75,-0.26,-0.09,-0.25,-0.37,-2.31,35.69,35.69,16.25,
174.08,-9.58,-1.29,0.44,-3.19,-1.56,1.06,34.75,15.00,16.56,-5.44,0.30,8.15,-0.19,-1.00,-0.25,7.25,93.87,-54.00,-9.65,-1.29,0.41,-3.25,-0.88,1.12,34.75,15.00,16.56,-9.75,-0.29,-0.09,-0.88,-0.69,-1.87,35.69,34.88,16.69,
174.12,-9.72,-1.31,0.36,-3.12,-0.37,1.06,34.69,15.00,14.19,-5.47,0.30,8.10,0.25,-0.56,-0.50,7.25,94.25,-54.00,-9.69,-1.33,0.35,-2.69,-0.94,1.12,34.69,15.00,14.19,-9.78,-0.27,-0.12,3.12,-0.44,-2.44,36.50,35.25,15.88,
174.15,-9.68,-1.35,0.34,-2.06,-0.69,1.12,34.69,15.00,14.19,-5.48,0.30,8.13,1.06,-0.19,-0.56,7.69,95.06,-52.56,-9.65,-1.44,0.35,-2.06,-0.06,1.37,34.69,15.00,14.19,-9.78,-0.30,-0.22,2.19,-0.13,-2.37,36.50,35.25,15.88,
174.18,-9.63,-1.39,0.37,-1.37,-0.19,1.75,35.56,15.00,15.38,-5.48,0.30,8.14,0.50,-0.62,-0.56,7.69,95.06,-52.56,-9.56,-1.27,0.43,-0.69,-1.25,1.56,35.56,15.00,15.38,-9.83,-0.23,-0.15,1.25,0.31,-2.19,35.75,34.50,17.19,
174.22,-9.61,-1.24,0.49,-0.25,-0.81,1.37,36.00,15.00,15.00,-5.46,0.32,8.11,0.81,-0.56,-0.44,7.69,94.00,-54.25,-9.59,-1.21,0.49,-0.25,-0.94,1.19,36.00,15.00,15.00,-9.79,-0.32,-0.09,1.75,0.25,-1.87,36.06,34.88,16.37,
174.25,-9.60,-1.26,0.52,-0.44,0.37,0.94,36.00,15.00,15.00,-5.39,0.32,8.21,1.06,-0.37,-0.19,7.25,93.87,-54.00,-9.49,-1.27,0.57,-0.31,1.19,0.81,36.00,15.00,15.00,-9.78,-0.50,0.04,0.69,0.37,-1.87,36.06,34.88,16.37,
174.28,-9.47,-1.28,0.46,2.56,1.69,0.69,35.56,14.25,15.75,-5.39,0.34,8.10,0.75,0.25,-0.50,7.25,93.87,-54.00,-9.53,-1.31,0.37,4.06,1.69,0.50,35.56,14.25,15.75,-9.91,-0.26,0.01,2.56,0.31,-2.19,36.50,34.88,17.06,
174.31,-9.81,-1.29,0.23,2.87,3.75,0.75,35.56,14.25,15.75,-5.52,0.35,8.14,0.69,1.19,-0.81,7.00,93.56,-53.88,-9.77,-1.26,0.23,0.25,4.00,0.75,36.00,14.25,15.75,-9.80,-0.27,-0.13,1.94,-0.50,-1.56,35.25,34.50,17.06,
174.34,-9.74,-1.13,0.39,-2.87,2.62,-0.06,36.00,14.25,15.75,-5.45,0.36,8.12,0.50,0.62,-0.75,7.00,93.56,-53.88,-9.74,-1.12,0.44,-2.37,1.19,-0.69,36.00,14.25,15.75,-9.85,-0.33,-0.09,0.69,1.94,-1.75,35.25,34.50,17.06,
174.37,-9.61,-1.16,0.42,0.06,0.06,-1.25,34.75,15.38,15.75,-5.49,0.28,8.12,0.88,0.06,-0.44,8.06,93.87,-52.50,-9.51,-1.25,0.34,0.50,0.94,-0.81,34.75,15.38,15.75,-9.77,-0.33,0.10,2.06,2.06,-1.12,36.50,36.00,16.25,
174.40,-9.49,-1.27,0.40,-0.31,1.81,-0.37,34.75,15.38,15.75,-5.45,0.42,8.14,0.44,0.81,-0.88,7.69,93.56,-53.69,-9.61,-1.32,0.40,-0.37,2.25,-0.56,34.75,14.56,15.00,-9.86,-0.37,0.05,2.69,0.25,-1.69,36.50,36.00,16.25,
174.43,-9.77,-1.26,0.40,0.25,2.69,-0.88,34.75,14.56,15.00,-5.49,0.35,8.09,0.13,0.81,-0.88,7.69,93.56,-53.69,-9.79,-1.21,0.34,0.69,2.50,-0.75,34.75,14.56,15.00,-9.74,-0.26,-0.06,4.06,-0.13,-1.37,35.69,34.50,16.69,
174.47,-9.62,-1.18,0.22,0.25,1.19,-0.31,35.56,15.38,17.75,-5.48,0.32,8.11,-0.69,1.25,-0.88,9.06,93.56,-52.88,-9.59,-1.17,0.20,-0.31,0.19,-0.31,35.56,15.38,17.75,-9.81,-0.21,-0.06,2.44,0.06,-1.75,35.25,35.69,16.25,
174.50,-9.56,-1.16,0.33,-0.75,1.00,-1.00,35.56,15.38,17.75,-5.53,0.32,8.10,-0.44,0.81,-0.69,7.69,93.56,-54.06,-9.63,-1.20,0.48,-0.62,1.75,-1.31,34.75,14.56,16.19,-9.73,-0.32,-0.17,1.44,-0.25,-1.12,35.25,35.69,16.25,
174.53,-9.64,-1.20,0.46,-0.50,1.31,-1.19,34.75,14.56,16.19,-5.46,0.39,8.08,-0.75,0.19,-0.44,7.69,93.56,-54.06,-9.63,-1.24,0.36,-0.25,1.19,-1.00,34.75,14.56,16.19,-9.85,-0.33,-0.04,0.25,0.94,-1.69,35.00,35.69,16.69,
174.57,-9.68,-1.26,0.34,-0.69,2.06,-0.94,35.19,14.56,17.00,-5.46,0.34,8.12,-0.94,0.56,-0.62,8.50,94.25,-53.56,-9.76,-1.26,0.33,-1.12,2.06,-1.06,35.19,14.56,17.00,-9.83,-0.32,-0.14,0.44,1.19,-1.69,36.06,34.50,15.88,
174.60,-9.75,-1.26,0.25,-0.31,1.00,-1.37,35.19,14.56,17.00,-5.54,0.31,8.09,-0.13,0.94,-0.69,8.50,94.25,-53.56,-9.72,-1.27,0.17,0.13,0.50,-1.44,35.19,14.56,17.00,-9.72,-0.40,-0.12,1.50,1.69,-1.25,36.06,34.50,15.88,
174.63,-9.59,-1.25,0.27,0.19,-0.44,-1.19,35.56,15.00,16.56,-5.52,0.28,8.11,-0.62,0.13,-0.50,9.06,93.87,-52.88,-9.54,-1.28,0.28,0.50,-0.37,-1.06,35.56,15.00,16.56,-9.83,-0.35,-0.09,0.81,1.31,-1.62,36.50,35.25,16.69,
174.66,-9.58,-1.34,0.41,1.56,0.50,-0.69,35.56,15.00,16.56,-5.47,0.26,8.15,-0.69,0.00,-0.62,7.00,93.87,-54.19,-9.65,-1.33,0.36,1.69,1.31,-0.88,36.00,14.56,15.75,-9.82,-0.45,-0.02,1.69,0.81,-1.37,36.50,35.25,16.69,
174.69,-9.73,-1.30,0.25,1.56,0.75,-1.00,36.00,14.56,15.75,-5.50,0.29,8.11,-0.75,0.31,-0.69,7.00,93.87,-54.19,-9.77,-1.27,0.23,1.81,0.37,-1.19,36.00,14.56,15.75,-9.77,-0.35,-0.28,2.00,0.62,-1.87,34.69,34.88,18.25,
174.72,-9.68,-1.17,0.19,1.56,-0.31,-1.37,34.75,15.38,15.75,-5.54,0.25,8.08,-0.50,0.06,-0.56,8.50,94.69,-52.50,-9.59,-1.20,0.20,0.75,-0.81,-1.87,34.75,15.38,15.75,-9.75,-0.33,-0.21,2.62,0.56,-2.19,35.25,34.88,16.75,
174.75,-9.49,-1.18,0.28,-0.81,-1.06,-2.31,34.75,15.38,15.75,-5.48,0.26,8.09,-0.25,-0.56,-0.06,9.06,93.87,-53.69,-9.61,-1.29,0.23,1.87,0.00,-2.19,35.19,14.56,16.56,-9.88,-0.39,-0.24,-0.44,1.19,-2.06,35.25,34.88,16.75,
174.78,-9.73,-1.36,0.25,2.75,0.37,-1.69,35.19,14.56,16.56,-5.48,0.32,8.18,-0.31,0.00,-0.44,9.06,93.87,-53.69,-9.81,-1.35,0.20,1.50,-0.06,-1.44,35.19,14.56,16.56,-9.85,-0.44,-0.22,1.00,0.56,-2.37,36.06,35.25,16.00,
