Timestamp(s),trunk_Accel_X,trunk_Accel_Y,trunk_Accel_Z,trunk_Gyro_X,trunk_Gyro_Y,trunk_Gyro_Z,trunk_MAG_X,trunk_MAG_Y,trunk_MAG_Z,foot_Accel_X,foot_Accel_Y,foot_Accel_Z,foot_Gyro_X,foot_Gyro_Y,foot_Gyro_Z,foot_MAG_X,foot_MAG_Y,foot_MAG_Z,shank_Accel_X,shank_Accel_Y,shank_Accel_Z,shank_Gyro_X,shank_Gyro_Y,shank_Gyro_Z,shank_MAG_X,shank_MAG_Y,shank_MAG_Z,thigh_Accel_X,thigh_Accel_Y,thigh_Accel_Z,thigh_Gyro_X,thigh_Gyro_Y,thigh_Gyro_Z,thigh_MAG_X,thigh_MAG_Y,thigh_MAG_Z,Label
122.05,-9.50,-1.42,0.91,-16.81,-2.25,-1.50,27.87,31.69,-37.69,-5.20,0.52,8.23,-2.31,0.44,-1.06,5.75,-29.75,-91.69,-9.47,-1.51,0.99,-16.81,-2.44,-2.31,27.87,31.69,-37.69,-9.81,-0.52,0.09,-8.56,-1.37,-1.56,39.69,25.69,-48.19,stairascent
122.07,-9.46,-1.52,1.09,-13.19,-1.69,-4.37,29.00,31.25,-38.19,-5.16,0.55,8.29,-2.50,1.69,-1.50,5.75,-29.75,-91.69,-9.46,-1.55,1.32,-9.94,0.19,-5.19,29.00,31.25,-38.19,-9.92,-0.62,-0.28,-4.75,-0.56,-1.75,39.69,25.69,-48.56,stairascent
122.11,-9.67,-1.52,1.40,-1.19,4.56,-4.56,29.00,31.25,-38.19,-5.34,0.39,8.25,-1.25,1.50,-0.81,6.50,-29.06,-92.06,-9.73,-1.48,1.32,2.75,6.87,-3.00,29.37,31.69,-37.69,-9.78,-0.50,-0.56,3.37,0.62,-1.75,39.69,26.75,-47.75,stairascent
122.14,-9.83,-1.31,0.97,5.44,10.44,-0.19,29.37,31.69,-37.69,-5.23,0.50,8.26,-0.94,0.31,0.06,6.06,-29.06,-92.19,-9.78,-1.15,0.77,0.69,9.94,-0.19,29.37,31.69,-37.69,-9.88,-0.10,-0.05,2.31,4.69,-1.25,39.69,26.75,-47.75,stairascent
122.18,-9.57,-1.07,0.68,-3.87,9.69,-1.19,28.69,32.06,-37.69,-5.27,0.43,8.21,-0.81,-0.13,0.37,6.06,-29.06,-92.19,-9.42,-0.98,0.40,-6.00,9.63,-0.94,28.69,32.06,-37.69,-9.72,0.06,0.23,-2.00,5.62,0.31,39.69,26.37,-47.38,stairascent
122.21,-9.46,-0.92,0.23,-13.19,10.94,0.13,28.69,32.06,-37.69,-5.23,0.56,8.26,-0.69,-0.37,0.31,5.00,-28.25,-92.00,-9.59,-0.98,0.18,-17.19,11.19,0.19,29.00,32.06,-37.69,-9.74,-0.15,0.45,-6.69,5.81,0.50,40.50,26.75,-48.56,stairascent
122.24,-9.64,-1.00,0.13,-23.19,9.38,0.13,29.00,32.06,-37.69,-5.26,0.46,8.28,-0.25,-0.19,0.06,6.06,-29.06,-91.75,-9.64,-1.09,0.13,-24.81,8.19,0.06,29.00,32.06,-37.69,-9.72,-0.49,0.34,-7.94,4.31,0.31,40.50,26.75,-48.56,stairascent
122.27,-9.55,-1.28,0.39,-26.56,7.06,-0.44,30.06,32.06,-36.56,-5.22,0.50,8.24,0.25,0.00,-0.19,6.06,-29.06,-91.75,-9.54,-1.33,0.45,-26.69,7.06,-0.31,30.06,32.06,-36.56,-9.85,-0.29,0.16,-4.56,3.12,-0.62,39.25,26.75,-46.56,stairascent
122.30,-9.56,-1.42,0.71,-25.75,7.00,-0.06,30.06,32.06,-36.56,-5.32,0.45,8.23,-0.31,0.13,-0.37,6.87,-29.06,-92.50,-9.59,-1.51,0.80,-25.75,6.75,-0.50,30.06,32.06,-36.56,-9.81,-0.15,-0.17,-3.94,2.44,-0.19,39.25,26.75,-46.56,stairascent
122.33,-9.81,-1.63,0.77,-23.75,6.62,-0.31,7.87,-11.00,-49.19,-5.19,0.48,8.28,-0.37,-0.75,-0.06,6.87,-29.06,-92.50,-9.86,-1.65,0.66,-22.06,6.62,-0.06,7.87,-11.00,-49.19,-9.92,-0.38,-0.25,-9.31,4.06,-0.31,39.38,26.50,-47.75,stairascent
122.36,-9.79,-1.60,0.60,-21.50,6.50,0.81,7.87,-11.00,-49.19,-5.29,0.39,8.26,0.75,-0.62,0.25,6.06,-28.69,-90.69,-9.74,-1.58,0.63,-21.19,6.69,0.88,8.00,-11.50,-46.88,-9.76,-0.51,-0.14,-8.88,3.94,0.44,40.06,26.06,-47.75,stairascent
122.39,-9.71,-1.60,0.63,-19.25,5.81,0.31,8.00,-11.50,-46.88,-5.21,0.49,8.25,1.62,-0.88,1.06,6.50,-28.69,-91.19,-9.52,-1.50,0.79,-17.69,5.31,0.19,8.00,-11.50,-46.88,-9.84,-0.44,0.04,-7.37,4.31,0.13,40.06,26.06,-47.75,stairascent
122.42,-9.52,-1.51,0.85,-13.31,6.50,0.13,9.56,-10.25,-46.75,-5.26,0.52,8.23,1.12,-0.13,0.81,6.50,-28.69,-91.19,-9.67,-1.46,0.70,-11.19,7.37,0.50,9.56,-10.25,-46.75,-9.76,-0.29,0.13,-5.56,4.62,0.62,40.75,27.87,-47.00,stairascent
122.45,-9.74,-1.47,0.45,-8.50,6.00,1.19,9.56,-10.25,-46.75,-5.25,0.54,8.27,0.06,-0.06,0.13,6.50,-28.69,-92.50,-9.78,-1.42,0.33,-8.19,4.50,1.50,9.56,-10.25,-46.75,-9.77,-0.14,0.26,-1.62,3.31,0.31,40.75,27.87,-47.00,stairascent
122.48,-9.71,-1.33,0.38,-9.63,2.31,1.06,7.75,-8.06,-45.88,-5.25,0.48,8.25,-0.44,0.19,-0.50,6.50,-28.69,-92.50,-9.73,-1.30,0.42,-11.00,1.50,0.50,7.75,-8.06,-45.88,-9.75,-0.25,0.26,-0.44,1.94,-0.56,41.50,27.50,-47.38,stairascent
122.51,-9.82,-1.25,0.60,-11.25,0.19,-0.56,7.75,-8.06,-45.88,-5.17,0.53,8.24,-0.62,0.06,0.13,6.50,-29.50,-91.87,-9.79,-1.24,0.64,-10.38,-0.62,-0.81,9.88,-8.00,-46.75,-9.83,-0.28,0.21,-2.06,2.06,-1.00,41.19,27.87,-47.38,stairascent
122.54,-9.61,-1.31,0.64,-8.38,-2.00,-0.94,9.88,-8.00,-46.75,-5.23,0.47,8.23,-0.88,0.81,-0.69,5.75,-28.69,-92.25,-9.62,-1.32,0.63,-7.31,-2.12,-0.62,9.88,-8.00,-46.75,-9.75,-0.12,0.13,-0.75,0.69,0.06,41.19,27.87,-47.38,stairascent
122.57,-9.62,-1.34,0.61,-6.19,-1.69,-0.25,9.88,-7.75,-46.38,-5.25,0.51,8.26,-0.94,0.81,-0.88,5.75,-28.69,-92.25,-9.66,-1.37,0.60,-5.19,-1.94,-0.62,9.88,-7.75,-46.38,-9.85,-0.11,0.10,-2.50,0.88,-1.06,41.50,28.25,-47.00,stairascent
122.60,-9.68,-1.41,0.56,-3.94,-2.25,-1.06,9.88,-7.75,-46.38,-5.26,0.50,8.24,-1.37,0.44,-0.88,7.56,-28.25,-91.37,-9.66,-1.38,0.60,-3.12,-2.37,-1.25,9.88,-7.75,-46.38,-9.74,-0.24,-0.04,-1.62,0.75,-0.81,41.50,28.25,-47.00,stairascent
122.63,-9.64,-1.37,0.59,-2.06,-2.81,-1.44,9.56,-7.25,-45.50,-5.22,0.40,8.28,-1.25,0.19,-0.50,7.56,-28.25,-91.37,-9.63,-1.38,0.61,0.00,-2.75,-1.56,9.56,-7.25,-45.50,-9.81,-0.48,-0.01,-0.69,1.87,-1.06,41.06,28.56,-45.75,stairascent
122.66,-9.68,-1.41,0.57,1.50,-2.87,-1.12,9.56,-7.25,-45.50,-5.28,0.48,8.19,-1.00,0.31,-0.69,6.87,-28.69,-91.06,-9.69,-1.40,0.61,1.75,-3.31,-0.88,9.25,-6.06,-45.75,-9.77,-0.20,-0.01,3.56,0.62,-1.25,41.50,28.25,-47.00,stairascent
122.69,-9.60,-1.37,0.45,1.94,-4.25,-0.56,9.25,-6.06,-45.75,-5.24,0.51,8.24,-1.06,0.25,-0.50,6.87,-29.50,-93.06,-9.59,-1.37,0.43,2.12,-4.81,-0.75,9.25,-6.06,-45.75,-9.82,-0.28,0.05,1.37,-0.19,-1.50,41.50,28.25,-47.00,stairascent
122.71,-9.59,-1.34,0.50,3.25,-4.62,-0.94,8.56,-7.00,-46.69,-5.27,0.46,8.24,-1.56,0.62,-0.88,6.87,-29.50,-93.06,-9.62,-1.36,0.55,5.37,-3.50,-0.75,8.56,-7.00,-46.69,-9.81,-0.39,-0.16,4.87,0.06,-1.50,41.06,27.87,-46.19,stairascent
122.75,-9.76,-1.34,0.48,5.94,-3.69,-0.62,8.56,-7.00,-46.69,-5.24,0.44,8.29,-1.19,0.88,-0.88,6.50,-28.25,-91.37,-9.73,-1.29,0.45,5.69,-4.56,-0.75,8.56,-7.00,-46.69,-9.83,-0.26,-0.26,5.44,0.69,-1.69,41.06,27.87,-46.19,stairascent
122.78,-9.68,-1.27,0.53,5.62,-5.25,-0.94,9.00,-6.69,-46.00,-5.29,0.43,8.25,-1.37,0.88,-0.94,6.50,-28.25,-91.37,-9.71,-1.32,0.56,6.69,-5.69,-1.00,9.00,-6.69,-46.00,-9.85,-0.27,-0.11,6.87,-0.44,-1.56,40.38,28.19,-46.56,stairascent
122.81,-9.69,-1.35,0.51,7.44,-5.94,-0.81,9.00,-6.69,-46.00,-5.26,0.42,8.25,-1.37,0.94,-0.81,5.75,-28.25,-91.87,-9.53,-1.48,0.49,7.69,-6.31,-0.50,9.25,-7.25,-46.00,-9.72,-0.42,-0.14,5.56,-0.44,-1.75,40.75,27.87,-46.56,stairascent
122.84,-9.46,-1.48,0.55,8.94,-6.00,-0.62,9.25,-7.25,-46.00,-5.25,0.45,8.24,-1.69,0.50,-0.69,6.06,-28.25,-91.69,-9.46,-1.48,0.55,9.69,-5.50,-0.25,9.25,-7.25,-46.00,-9.91,-0.23,-0.19,7.12,0.06,-1.75,40.75,27.87,-46.56,stairascent
122.86,-9.54,-1.45,0.59,10.13,-4.81,0.19,9.25,-7.25,-46.00,-5.30,0.39,8.22,-0.62,0.75,-0.81,6.06,-28.25,-91.69,-9.56,-1.43,0.63,9.88,-4.00,0.56,8.88,-6.87,-46.75,-9.81,-0.37,-0.19,4.75,-0.31,-0.88,41.19,27.87,-47.00,stairascent
122.90,-9.53,-1.36,0.65,8.00,-2.81,0.69,8.88,-6.87,-46.75,-5.27,0.42,8.27,-0.81,0.69,-0.62,6.87,-28.00,-93.00,-9.50,-1.32,0.60,8.00,-2.50,0.13,8.88,-6.87,-46.75,-9.83,-0.43,-0.21,4.87,-0.44,-1.25,41.19,27.87,-47.00,stairascent
122.93,-9.54,-1.34,0.67,8.44,-2.31,0.13,8.19,-6.87,-47.19,-5.28,0.40,8.26,-0.94,0.44,-0.81,6.87,-28.00,-93.00,-9.57,-1.36,0.68,9.75,-0.81,0.25,8.19,-6.87,-47.19,-9.81,-0.35,-0.36,5.00,-0.37,-0.94,40.75,27.50,-47.38,stairascent
122.96,-9.62,-1.33,0.66,10.38,0.37,0.75,8.19,-6.87,-47.19,-5.27,0.38,8.21,-0.50,0.75,-0.75,6.87,-28.69,-90.87,-9.63,-1.37,0.63,10.31,0.81,0.75,8.00,-6.75,-47.19,-9.81,-0.44,-0.38,5.31,1.31,-0.81,40.50,28.19,-47.38,stairascent
122.99,-9.61,-1.34,0.72,9.69,1.12,0.62,8.00,-6.75,-47.19,-5.33,0.37,8.21,-0.50,0.37,-0.37,5.37,-29.06,-91.19,-9.58,-1.34,0.75,8.19,2.44,0.75,8.00,-6.75,-47.19,-9.81,-0.34,-0.13,5.87,1.94,-0.69,40.50,28.19,-47.38,stairascent
123.01,-9.54,-1.30,0.73,7.06,2.81,0.56,8.00,-6.75,-47.19,-5.27,0.42,8.21,-0.25,0.81,-0.37,5.37,-29.06,-91.19,-9.48,-1.26,0.68,5.50,3.56,0.13,8.38,-8.69,-47.19,-9.82,-0.43,-0.11,4.87,2.25,-0.44,41.50,27.19,-47.75,stairascent
123.05,-9.45,-1.25,0.67,4.75,5.62,-0.06,8.38,-8.69,-47.19,-5.32,0.33,8.24,0.00,1.00,-0.56,6.50,-28.00,-92.50,-9.46,-1.28,0.65,4.62,6.62,0.06,8.38,-8.69,-47.19,-9.74,-0.40,-0.14,3.87,2.25,-0.75,41.50,27.19,-47.75,stairascent
123.07,-9.66,-1.33,0.57,4.87,6.56,0.06,7.69,-7.06,-48.06,-5.30,0.43,8.28,0.13,0.88,-0.62,6.50,-28.00,-92.50,-9.66,-1.35,0.54,6.25,5.81,0.13,7.69,-7.06,-48.06,-9.82,-0.46,-0.31,3.12,2.06,-0.44,40.50,26.50,-46.56,stairascent
123.11,-9.65,-1.38,0.25,4.75,6.75,0.19,7.69,-7.06,-48.06,-5.32,0.32,8.19,0.50,0.13,-0.31,8.69,-27.56,-91.25,-9.68,-1.38,0.31,3.50,6.44,0.31,7.75,-9.00,-47.56,-9.81,-0.56,-0.18,0.19,2.50,0.00,40.50,26.75,-47.75,stairascent
123.14,-9.81,-1.39,0.56,2.62,5.00,0.50,7.75,-9.00,-47.56,-5.29,0.40,8.25,0.81,0.13,0.19,7.56,-29.06,-91.56,-9.77,-1.37,0.56,1.62,2.94,0.50,7.75,-9.00,-47.56,-9.80,-0.27,-0.09,0.69,2.69,0.88,40.50,26.75,-47.75,stairascent
123.17,-9.55,-1.31,0.49,0.88,2.69,0.56,7.75,-9.00,-47.56,-5.33,0.39,8.19,0.62,0.00,-0.06,7.56,-29.06,-91.56,-9.51,-1.32,0.43,-0.06,3.50,0.37,9.25,-8.19,-48.50,-9.77,-0.32,-0.11,-1.00,0.94,0.00,41.06,26.75,-47.75,stairascent
123.20,-9.51,-1.25,0.42,-0.50,3.62,0.50,9.25,-8.19,-48.50,-5.28,0.37,8.23,0.37,-0.06,-0.06,6.87,-28.25,-92.19,-9.58,-1.20,0.46,-1.12,3.81,0.50,9.25,-8.19,-48.50,-9.77,-0.48,-0.30,-1.19,1.25,-0.50,41.06,26.75,-47.75,stairascent
123.22,-9.62,-1.20,0.54,-1.44,4.19,0.37,8.38,-7.87,-46.00,-5.32,0.33,8.24,-0.06,0.19,-0.25,6.87,-28.25,-92.19,-9.74,-1.26,0.60,-0.81,3.94,0.69,8.38,-7.87,-46.00,-9.82,-0.44,-0.21,-0.19,1.37,-0.06,39.69,26.37,-47.38,stairascent
123.26,-9.73,-1.38,0.57,-0.25,3.56,1.06,8.38,-7.87,-46.00,-5.29,0.43,8.23,-0.13,0.25,-0.37,7.56,-28.00,-91.50,-9.60,-1.32,0.44,-0.06,3.25,1.12,8.88,-8.38,-47.69,-9.81,-0.23,-0.29,0.06,2.00,-0.25,40.75,26.37,-47.75,stairascent
123.29,-9.60,-1.24,0.41,-0.13,3.19,0.69,8.88,-8.38,-47.69,-5.26,0.45,8.24,-0.06,0.94,-0.44,7.25,-29.06,-91.69,-9.60,-1.17,0.42,-0.37,3.31,0.56,8.88,-8.38,-47.69,-9.73,-0.22,-0.46,-1.75,2.25,-0.37,40.75,26.37,-47.75,stairascent
123.32,-9.69,-1.07,0.43,-0.94,3.37,0.56,9.56,-7.56,-47.69,-5.33,0.31,8.19,-0.31,0.44,-0.13,7.25,-29.06,-91.69,-9.71,-1.08,0.45,-2.25,3.81,0.50,9.56,-7.56,-47.69,-9.72,-0.31,-0.40,-3.50,3.81,-0.69,40.50,26.75,-47.75,stairascent
123.35,-9.66,-1.05,0.42,-6.06,4.62,-0.25,9.56,-7.56,-47.69,-5.31,0.38,8.27,-0.50,-0.69,0.44,7.56,-28.69,-91.37,-9.56,-1.09,0.45,-7.44,4.87,-0.37,9.56,-7.56,-47.69,-9.65,-0.22,-0.32,-5.12,4.81,-0.75,40.50,26.75,-47.75,stairascent
123.38,-9.51,-1.13,0.54,-7.87,5.56,-0.06,9.50,-7.25,-47.25,-5.37,0.26,8.14,-1.19,-0.31,0.13,7.56,-28.69,-91.37,-9.58,-1.00,0.48,-7.12,7.37,0.69,9.50,-7.25,-47.25,-9.53,-0.01,-0.55,-7.44,5.12,-0.50,41.50,27.19,-46.56,stairascent
